Common_name,Taxon,Assigned_life_stage,Status,Field_detection_temp_mean,Field_detection_temp_75Q,Field_detection_temp_max,n,Threshold_suboptimum,Threshold_tolerance,Spawning_growth_temp_range,Metric_suboptimum,Metric_tolerance,Reference_suboptimum,Reference_tolerance,Reference_spawning
Largemouth Bass,Micropterus salmoides,Larvae,Non-native,21.8,23.6,29.4,4048,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi Silverside,Menidia spp. (audens/beryllina),Adult,Non-native,14.3,17.8,31.8,262814,NA,31,13-30,NA,critical thermal maxima; opercular spasms,NA,Swanson & Cech (unpub in Swanson et al. 2000); Lutterschmidt & Hutchinson 1997,Hubbs et al. 1971
Mississippi Silverside,Menidia spp. (audens/beryllina),Juvenile,Non-native,18.8,23.3,31.8,164371,26,35,NA,transcriptional responses,critical thermal maxima,Komoroske et al. 2021,Davis et al. 2019; Komoroske et al. 2021,NA
Mississippi Silverside,Menidia spp. (audens/beryllina),Larvae,Non-native,19.6,22.5,24,20,25,34,NA,optimal growth (egg),hatching survival,Weinstein 1986; Hubbs et al. 1971,Weinstein 1986,NA
Wakasagi,Hypomesus nipponensis,Adult,Non-native,15.4,20.9,27.6,2215,NA,NA, 9-18,NA,NA,NA,NA,Davis et al. 2022 (similar spawning to Delta Smelt); Damon et al. 2016
Wakasagi,Hypomesus nipponensis,Juvenile,Non-native,17.4,21.1,28.8,2750,NA,29.1,NA,NA,critical thermal maxima,NA,Swanson et al. 2000,NA
Wakasagi,Hypomesus nipponensis,Larvae,Non-native,15.3,16.1,23.3,180,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Blackfish  ,Orthodon microlepidotus ,Adult,Native,16.6,20,27.7,464,NA,32,NA,NA,critical thermal maxima,NA,Moyle & Knight 1984,NA
Sacramento Blackfish  ,Orthodon microlepidotus ,Juvenile/Larvae,Native,19.6,22.8,31.1,2300,24,32,NA,behavioral; placement in tank,critical thermal maxima,Moyle & Knight 1984,Moyle & Knight 1984,NA
Hitch             ,Lavinia exilicauda,Adult,Native,16.5,21.1,29.6,233,29,38,NA,behavioral; placement in tank,critical thermal maxima,Moyle & Knight 1984,Moyle & Knight 1984,NA
Hitch             ,Lavinia exilicauda,Juvenile/Larvae,Native,18,21.8,29.6,2839,NA,NA,NA,NA,NA,NA,NA,NA
Tule Perch  ,Hysterocarpus traskii,Adult,Native,16.7,20.8,32.1,8475,21,34,NA,behavioral; placement in tank,critical thermal maxima,Moyle & Knight 1984,Moyle & Knight 1984,NA
Tule Perch  ,Hysterocarpus traskii,Juvenile/Larvae,Native,18,21.8,32.1,14766,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Pikeminnow,Ptychocheilus grandis,Adult,Native,16.4,20,26.5,462,22-25,35-38,NA,behavioral; placement in tank; metabolic rate,"survival; metabolic rate; 
critical thermal maxima",Moyle & Knight 1984; Baltz et al. 1987;  Smith 1977; Cech et al. 1990,Moyle & Knight 1984; Cech et al. 1990,NA
Sacramento Pikeminnow,Ptychocheilus grandis,Juvenile/Larvae,Native,16.4,20,31.1,47379,NA,NA,NA,NA,NA,Cech et al. 1990;  Baltz et al. 1987,NA,NA
Sacramento Sucker,Catostomus occidentalis,Adult,Native,16.6,20.6,32.1,2395,20,30,NA,metabolic rate,critical thermal maxima (death),Cech et al. 1990; Smith 1977,Cech et al. 1990,NA
Sacramento Sucker,Catostomus occidentalis,Juvenile,Native,16.8,20.3,31.8,58473,NA,NA,NA,NA,NA,Baltz et al. 1987,NA,NA
Sacramento Sucker,Catostomus occidentalis,Larvae,Native,15.6,17.4,19,15,NA,NA,NA,NA,NA,NA,NA,NA
Threespine Stickleback,Gasterosteus aculeatus,Adult,Native,15.4,18.6,26.7,2094,NA,26-29,NA,NA,percent mortality,NA,Blahm & Snyder 1975; Jordan & Garside 1972,NA
Threespine Stickleback,Gasterosteus aculeatus,Juvenile/Larvae,Native,16.5,19.5,32.1,12021,NA,25-29,NA,NA,signs of stress and reduced feeding,NA,Hovel et al. 2015; Jordan & Garside 1972,NA
Prickly Sculpin,Cottus asper,Adult,Native,17.9,21.7,32.1,12672,22-24,32, 8-13,presence; percent mortality,field observation,Black 1952,"Bashevkin et al. 2022 + CDFW Salvage + IEP, Pien & Kwan 2022
",Krejsa 1967
Prickly Sculpin,Cottus asper,Juvenile/Larvae,Native,18.5,20.3,32.1,32174,NA,NA,NA,NA,NA,NA,NA,NA
Brazilian waterweed,Egeria densa,Undifferentiated,Non-native,NA,NA,NA,NA, 3-16 & 26-30,30,NA,biomass,biomass,Borgnis and Boyer 2016,Higher end of suboptimum,NA
Microcystis,Microcystis spp.,Undifferentiated,Non-native,NA,NA,NA,NA,< 19 & >25,36,NA,abundance,growth rate,Lehman et al. 2013; Lehman et al. 2022,Mowe et al. 2015,NA
Asian Clam,Corbicula spp. (manilensis; fluminea),Undifferentiated,Non-native,NA,NA,NA,NA,< 22 & > 30,37,NA,abundance; ctenidial mucocyte growth,abundance; ctenidial mucocyte growth,Rosa et al. 2012; Karatayev et al. 2006,"Rosa et al. 2012; 
Karatayev et al. 2006",NA
Overbite Clam,Potamocorbula amurensis,Undifferentiated,Non-native,NA,NA,NA,NA,<12 & > 28,NA,16-20,growth,presence,Carlton et al. 1990 based on Potamocorbula laevis,Carlton et al. 1990 based on presence in Asia,Carlton et al. 1990 based on Potamocorbula laevis
Giant Reed EAV,Arundo donax,Undifferentiated,Non-native,NA,NA,NA,NA,<24 & > 30,32,NA,growth rate,growth rate,Rossa et al. 1998,Rossa et al. 1998,NA
Water Hyacinth FAV,Eichhornia crassipes,Undifferentiated,Non-native,NA,NA,NA,NA,<10 & >30,34,NA,sprouting,biomass,Kriticos & Brunel 2016,Kriticos & Brunel 2016,NA
Curlyleaf Pondweed,Potamogeton crispus,Undifferentiated,Non-native,NA,NA,NA,NA,<5 & > 25,25,24,biomass,biomass,Madsen et al. 2021,Madsen et al. 2021,NA
